,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
353,14,AC Monza,Serie A,95900000.0,2022/ 2023,monza,m monza m
354,15,Parma Calcio 1913,Serie B,68500000.0,2022/ 2023,parma calcio,p calcio c
355,16,Cagliari Calcio,Serie B,50630000.0,2022/ 2023,cagliari calcio,c cagliari c
356,17,Como 1907,Serie B,16050000.0,2022/ 2023,como,c como c
357,18,Hellas Verona,Serie A,126400000.0,2022/ 2023,hellas verona,h hellas v
358,19,Venezia FC,Serie B,47780000.0,2022/ 2023,venezia,v venezia v
359,20,FC Empoli,Serie A,82580000.0,2022/ 2023,empoli,e empoli e
360,1,Inter Milan,Serie A,664100000.0,2021/ 2022,inter milan,i inter m
361,2,AC Milan,Serie A,445900000.0,2021/ 2022,milan,m milan m
362,3,Juventus FC,Serie A,635600000.0,2021/ 2022,juventus,j juventus j
363,4,Atalanta BC,Serie A,425600000.0,2021/ 2022,atalanta,a atalanta a
364,5,SSC Napoli,Serie A,505800000.0,2021/ 2022,napoli,n napoli n
365,6,Bologna FC 1909,Serie A,155100000.0,2021/ 2022,bologna,b bologna b
366,7,AS Roma,Serie A,398150000.0,2021/ 2022,roma,r roma r
367,8,ACF Fiorentina,Serie A,244000000.0,2021/ 2022,fiorentina,f fiorentina f
368,9,SS Lazio,Serie A,343350000.0,2021/ 2022,lazio,l lazio l
369,10,Torino FC,Serie A,150750000.0,2021/ 2022,torino,t torino t
370,11,Genoa CFC,Serie A,69580000.0,2021/ 2022,genoa,g genoa g
371,12,Udinese Calcio,Serie A,88350000.0,2021/ 2022,udinese calcio,u udinese c
372,13,US Lecce,Serie B,25350000.0,2021/ 2022,lecce,l lecce l
373,14,AC Monza,Serie B,48230000.0,2021/ 2022,monza,m monza m
374,15,Parma Calcio 1913,Serie B,96550000.0,2021/ 2022,parma calcio,p calcio c
375,16,Cagliari Calcio,Serie A,153480000.0,2021/ 2022,cagliari calcio,c cagliari c
376,17,Como 1907,Serie B,9650000.0,2021/ 2022,como,c como c
377,18,Hellas Verona,Serie A,102050000.0,2021/ 2022,hellas verona,h hellas v
378,19,Venezia FC,Serie A,28400000.0,2021/ 2022,venezia,v venezia v
379,20,FC Empoli,Serie A,44880000.0,2021/ 2022,empoli,e empoli e
380,1,Inter Milan,Serie A,584050000.0,2020/ 2021,inter milan,i inter m
381,2,AC Milan,Serie A,335150000.0,2020/ 2021,milan,m milan m
382,3,Juventus FC,Serie A,620700000.0,2020/ 2021,juventus,j juventus j
383,4,Atalanta BC,Serie A,266500000.0,2020/ 2021,atalanta,a atalanta a
384,5,SSC Napoli,Serie A,534950000.00000006,2020/ 2021,napoli,n napoli n
385,6,Bologna FC 1909,Serie A,126850000.0,2020/ 2021,bologna,b bologna b
386,7,AS Roma,Serie A,380750000.0,2020/ 2021,roma,r roma r
387,8,ACF Fiorentina,Serie A,257579999.99999997,2020/ 2021,fiorentina,f fiorentina f
388,9,SS Lazio,Serie A,304800000.0,2020/ 2021,lazio,l lazio l
389,10,Torino FC,Serie A,147250000.0,2020/ 2021,torino,t torino t
390,11,Genoa CFC,Serie A,107500000.0,2020/ 2021,genoa,g genoa g
391,12,Udinese Calcio,Serie A,105730000.0,2020/ 2021,udinese calcio,u udinese c
392,13,US Lecce,Serie A,43650000.0,2020/ 2021,lecce,l lecce l
394,15,Parma Calcio 1913,Serie A,125480000.0,2020/ 2021,parma calcio,p calcio c
395,16,Cagliari Calcio,Serie A,150880000.0,2020/ 2021,cagliari calcio,c cagliari c
397,18,Hellas Verona,Serie A,107030000.0,2020/ 2021,hellas verona,h hellas v
398,19,Venezia FC,Serie B,10730000.0,2020/ 2021,venezia,v venezia v
399,20,FC Empoli,Serie B,31100000.0,2020/ 2021,empoli,e empoli e
400,1,Inter Milan,Serie A,588300000.0,2019/ 2020,inter milan,i inter m
401,2,AC Milan,Serie A,475000000.0,2019/ 2020,milan,m milan m
402,3,Juventus FC,Serie A,944000000.0,2019/ 2020,juventus,j juventus j
403,4,Atalanta BC,Serie A,252700000.0,2019/ 2020,atalanta,a atalanta a
404,5,SSC Napoli,Serie A,622500000.0,2019/ 2020,napoli,n napoli n
405,6,Bologna FC 1909,Serie A,119730000.0,2019/ 2020,bologna,b bologna b
406,7,AS Roma,Serie A,419350000.0,2019/ 2020,roma,r roma r
407,8,ACF Fiorentina,Serie A,219500000.0,2019/ 2020,fiorentina,f fiorentina f
408,9,SS Lazio,Serie A,311280000.0,2019/ 2020,lazio,l lazio l
409,10,Torino FC,Serie A,197630000.0,2019/ 2020,torino,t torino t
410,11,Genoa CFC,Serie A,130900000.0,2019/ 2020,genoa,g genoa g
411,12,Udinese Calcio,Serie A,149800000.0,2019/ 2020,udinese calcio,u udinese c
412,13,US Lecce,Serie A,28730000.0,2019/ 2020,lecce,l lecce l
414,15,Parma Calcio 1913,Serie A,78080000.0,2019/ 2020,parma calcio,p calcio c
415,16,Cagliari Calcio,Serie A,116080000.0,2019/ 2020,cagliari calcio,c cagliari c
417,18,Hellas Verona,Serie A,30330000.0,2019/ 2020,hellas verona,h hellas v
418,19,Venezia FC,Serie B,9630000.0,2019/ 2020,venezia,v venezia v
419,20,FC Empoli,Serie B,45280000.0,2019/ 2020,empoli,e empoli e
420,1,Bayern Munich,Bundesliga,926200000.0,2023/ 2024,bayern munich,b bayern m
421,2,Bayer 04 Leverkusen,Bundesliga,433950000.0,2023/ 2024,bayer  leverkusen,b leverkusen l
422,3,RB Leipzig,Bundesliga,472800000.0,2023/ 2024,leipzig,l leipzig l
423,4,Borussia Dortmund,Bundesliga,462150000.0,2023/ 2024,borussia dortmund,b borussia d
424,5,VfB Stuttgart,Bundesliga,129229999.99999999,2023/ 2024,vfb stuttgart,v stuttgart s
425,6,Eintracht Frankfurt,Bundesliga,301350000.0,2023/ 2024,eintracht frankfurt,e eintracht f
426,7,VfL Wolfsburg,Bundesliga,224600000.0,2023/ 2024,vfl wolfsburg,v wolfsburg w
427,8,SC Freiburg,Bundesliga,165350000.0,2023/ 2024,freiburg,f freiburg f
428,9,Borussia Mönchengladbach,Bundesliga,187730000.0,2023/ 2024,borussia monchengladbach,b monchengladbach m
429,10,TSG 1899 Hoffenheim,Bundesliga,119150000.0,2023/ 2024,hoffenheim,h hoffenheim h
430,11,FC Augsburg,Bundesliga,126500000.0,2023/ 2024,augsburg,a augsburg a
431,12,1.FC Union Berlin,Bundesliga,184500000.0,2023/ 2024,union berlin,u berlin b
432,13,SV Werder Bremen,Bundesliga,97000000.0,2023/ 2024,werder bremen,w werder b
433,14,1.FSV Mainz 05,Bundesliga,124450000.0,2023/ 2024,mainz,m mainz m
434,15,1.FC Heidenheim 1846,Bundesliga,29150000.0,2023/ 2024,heidenheim,h heidenheim h
435,16,VfL Bochum,Bundesliga,50950000.0,2023/ 2024,vfl bochum,v bochum b
436,17,FC St. Pauli,2. Bundesliga,20650000.0,2023/ 2024,st pauli,s pauli p
437,18,Holstein Kiel,2. Bundesliga,18950000.0,2023/ 2024,holstein kiel,h holstein k
438,1,Bayern Munich,Bundesliga,870230000.0,2022/ 2023,bayern munich,b bayern m
439,2,Bayer 04 Leverkusen,Bundesliga,455350000.0,2022/ 2023,bayer  leverkusen,b leverkusen l
440,3,RB Leipzig,Bundesliga,486180000.0,2022/ 2023,leipzig,l leipzig l
441,4,Borussia Dortmund,Bundesliga,509450000.0,2022/ 2023,borussia dortmund,b borussia d
442,5,VfB Stuttgart,Bundesliga,142080000.0,2022/ 2023,vfb stuttgart,v stuttgart s
443,6,Eintracht Frankfurt,Bundesliga,250250000.0,2022/ 2023,eintracht frankfurt,e eintracht f
444,7,VfL Wolfsburg,Bundesliga,239650000.0,2022/ 2023,vfl wolfsburg,v wolfsburg w
445,8,SC Freiburg,Bundesliga,149550000.0,2022/ 2023,freiburg,f freiburg f
446,9,Borussia Mönchengladbach,Bundesliga,178950000.0,2022/ 2023,borussia monchengladbach,b monchengladbach m
447,10,TSG 1899 Hoffenheim,Bundesliga,176400000.0,2022/ 2023,hoffenheim,h hoffenheim h
448,11,FC Augsburg,Bundesliga,99100000.0,2022/ 2023,augsburg,a augsburg a
449,12,1.FC Union Berlin,Bundesliga,94700000.0,2022/ 2023,union berlin,u berlin b
450,13,SV Werder Bremen,Bundesliga,62650000.0,2022/ 2023,werder bremen,w werder b
451,14,1.FSV Mainz 05,Bundesliga,112250000.0,2022/ 2023,mainz,m mainz m
452,15,1.FC Heidenheim 1846,2. Bundesliga,16649999.999999998,2022/ 2023,heidenheim,h heidenheim h
453,16,VfL Bochum,Bundesliga,38000000.0,2022/ 2023,vfl bochum,v bochum b
454,17,FC St. Pauli,2. Bundesliga,23500000.0,2022/ 2023,st pauli,s pauli p
455,18,Holstein Kiel,2. Bundesliga,16379999.999999998,2022/ 2023,holstein kiel,h holstein k
456,1,Bayern Munich,Bundesliga,826500000.0,2021/ 2022,bayern munich,b bayern m
457,2,Bayer 04 Leverkusen,Bundesliga,378250000.0,2021/ 2022,bayer  leverkusen,b leverkusen l
458,3,RB Leipzig,Bundesliga,562600000.0,2021/ 2022,leipzig,l leipzig l
459,4,Borussia Dortmund,Bundesliga,570550000.0,2021/ 2022,borussia dortmund,b borussia d
460,5,VfB Stuttgart,Bundesliga,164800000.0,2021/ 2022,vfb stuttgart,v stuttgart s
461,6,Eintracht Frankfurt,Bundesliga,222050000.0,2021/ 2022,eintracht frankfurt,e eintracht f
462,7,VfL Wolfsburg,Bundesliga,287730000.0,2021/ 2022,vfl wolfsburg,v wolfsburg w
463,8,SC Freiburg,Bundesliga,132650000.0,2021/ 2022,freiburg,f freiburg f
464,9,Borussia Mönchengladbach,Bundesliga,296550000.0,2021/ 2022,borussia monchengladbach,b monchengladbach m
465,10,TSG 1899 Hoffenheim,Bundesliga,205200000.0,2021/ 2022,hoffenheim,h hoffenheim h
466,11,FC Augsburg,Bundesliga,98250000.0,2021/ 2022,augsburg,a augsburg a
467,12,1.FC Union Berlin,Bundesliga,87300000.0,2021/ 2022,union berlin,u berlin b
468,13,SV Werder Bremen,2. Bundesliga,81380000.0,2021/ 2022,werder bremen,w werder b
469,14,1.FSV Mainz 05,Bundesliga,104200000.0,2021/ 2022,mainz,m mainz m
470,15,1.FC Heidenheim 1846,2. Bundesliga,18550000.0,2021/ 2022,heidenheim,h heidenheim h
471,16,VfL Bochum,Bundesliga,30600000.0,2021/ 2022,vfl bochum,v bochum b
472,17,FC St. Pauli,2. Bundesliga,19380000.0,2021/ 2022,st pauli,s pauli p
473,18,Holstein Kiel,2. Bundesliga,16800000.0,2021/ 2022,holstein kiel,h holstein k
474,1,Bayern Munich,Bundesliga,930750000.0,2020/ 2021,bayern munich,b bayern m
475,2,Bayer 04 Leverkusen,Bundesliga,407150000.0,2020/ 2021,bayer  leverkusen,b leverkusen l
476,3,RB Leipzig,Bundesliga,489030000.0,2020/ 2021,leipzig,l leipzig l
477,4,Borussia Dortmund,Bundesliga,560450000.0,2020/ 2021,borussia dortmund,b borussia d
478,5,VfB Stuttgart,2. Bundesliga,74900000.0,2020/ 2021,vfb stuttgart,v stuttgart s
479,6,Eintracht Frankfurt,Bundesliga,202730000.0,2020/ 2021,eintracht frankfurt,e eintracht f
480,7,VfL Wolfsburg,Bundesliga,205480000.0,2020/ 2021,vfl wolfsburg,v wolfsburg w
481,8,SC Freiburg,Bundesliga,128280000.0,2020/ 2021,freiburg,f freiburg f
482,9,Borussia Mönchengladbach,Bundesliga,294480000.0,2020/ 2021,borussia monchengladbach,b monchengladbach m
483,10,TSG 1899 Hoffenheim,Bundesliga,213450000.0,2020/ 2021,hoffenheim,h hoffenheim h
484,11,FC Augsburg,Bundesliga,128580000.00000001,2020/ 2021,augsburg,a augsburg a
485,12,1.FC Union Berlin,Bundesliga,48950000.0,2020/ 2021,union berlin,u berlin b
486,13,SV Werder Bremen,Bundesliga,120830000.0,2020/ 2021,werder bremen,w werder b
487,14,1.FSV Mainz 05,Bundesliga,117600000.0,2020/ 2021,mainz,m mainz m
488,15,1.FC Heidenheim 1846,2. Bundesliga,11500000.0,2020/ 2021,heidenheim,h heidenheim h
489,16,VfL Bochum,2. Bundesliga,15630000.0,2020/ 2021,vfl bochum,v bochum b
490,17,FC St. Pauli,2. Bundesliga,13000000.0,2020/ 2021,st pauli,s pauli p
491,18,Holstein Kiel,2. Bundesliga,16500000.0,2020/ 2021,holstein kiel,h holstein k
492,1,Bayern Munich,Bundesliga,757150000.0,2019/ 2020,bayern munich,b bayern m
493,2,Bayer 04 Leverkusen,Bundesliga,420600000.0,2019/ 2020,bayer  leverkusen,b leverkusen l
494,3,RB Leipzig,Bundesliga,521900000.0,2019/ 2020,leipzig,l leipzig l
495,4,Borussia Dortmund,Bundesliga,669100000.0,2019/ 2020,borussia dortmund,b borussia d
496,5,VfB Stuttgart,2. Bundesliga,76130000.0,2019/ 2020,vfb stuttgart,v stuttgart s
497,6,Eintracht Frankfurt,Bundesliga,188350000.0,2019/ 2020,eintracht frankfurt,e eintracht f
498,7,VfL Wolfsburg,Bundesliga,229700000.0,2019/ 2020,vfl wolfsburg,v wolfsburg w
499,8,SC Freiburg,Bundesliga,113980000.0,2019/ 2020,freiburg,f freiburg f
500,9,Borussia Mönchengladbach,Bundesliga,258500000.0,2019/ 2020,borussia monchengladbach,b monchengladbach m
501,10,TSG 1899 Hoffenheim,Bundesliga,236500000.0,2019/ 2020,hoffenheim,h hoffenheim h
502,11,FC Augsburg,Bundesliga,130050000.00000001,2019/ 2020,augsburg,a augsburg a
503,12,1.FC Union Berlin,Bundesliga,35830000.0,2019/ 2020,union berlin,u berlin b
504,13,SV Werder Bremen,Bundesliga,158680000.0,2019/ 2020,werder bremen,w werder b
505,14,1.FSV Mainz 05,Bundesliga,164600000.0,2019/ 2020,mainz,m mainz m
506,15,1.FC Heidenheim 1846,2. Bundesliga,17030000.0,2019/ 2020,heidenheim,h heidenheim h
507,16,VfL Bochum,2. Bundesliga,14750000.0,2019/ 2020,vfl bochum,v bochum b
508,17,FC St. Pauli,2. Bundesliga,17300000.0,2019/ 2020,st pauli,s pauli p
509,18,Holstein Kiel,2. Bundesliga,17380000.0,2019/ 2020,holstein kiel,h holstein k
510,1,Paris Saint-Germain,Ligue 1,1010000000.0,2023/ 2024,paris saintgermain,p saintgermain s
511,2,AS Monaco,Ligue 1,300600000.0,2023/ 2024,monaco,m monaco m
512,3,LOSC Lille,Ligue 1,205300000.0,2023/ 2024,lille,l lille l
513,4,OGC Nice,Ligue 1,224150000.0,2023/ 2024,nice,n nice n
514,5,Stade Rennais FC,Ligue 1,330300000.0,2023/ 2024,stade rennais,s rennais r
515,6,Olympique Lyon,Ligue 1,222900000.0,2023/ 2024,olympique lyon,o olympique l
516,7,Olympique Marseille,Ligue 1,293200000.0,2023/ 2024,olympique marseille,o olympique m
517,8,RC Lens,Ligue 1,157900000.0,2023/ 2024,lens,l lens l
518,9,Stade Reims,Ligue 1,102450000.0,2023/ 2024,stade reims,s stade r
519,10,FC Toulouse,Ligue 1,72900000.0,2023/ 2024,toulouse,t toulouse t
520,11,RC Strasbourg Alsace,Ligue 1,106550000.0,2023/ 2024,strasbourg alsace,s strasbourg a
521,12,Montpellier HSC,Ligue 1,115350000.0,2023/ 2024,montpellier,m montpellier m
522,13,FC Nantes,Ligue 1,78480000.0,2023/ 2024,nantes,n nantes n
523,14,Stade Brestois 29,Ligue 1,57400000.0,2023/ 2024,stade brestois,s brestois b
524,15,Le Havre AC,Ligue 1,45400000.0,2023/ 2024,le havre,l havre h
525,16,AJ Auxerre,Ligue 2,25900000.0,2023/ 2024,auxerre,a auxerre a
526,17,AS Saint-Étienne,Ligue 2,39650000.0,2023/ 2024,saintetienne,s saintetienne s
527,18,Angers SCO,Ligue 2,36400000.0,2023/ 2024,angers,a angers a
528,1,Paris Saint-Germain,Ligue 1,933100000.0,2022/ 2023,paris saintgermain,p saintgermain s
529,2,AS Monaco,Ligue 1,337800000.0,2022/ 2023,monaco,m monaco m
530,3,LOSC Lille,Ligue 1,208100000.0,2022/ 2023,lille,l lille l
531,4,OGC Nice,Ligue 1,215050000.0,2022/ 2023,nice,n nice n
532,5,Stade Rennais FC,Ligue 1,242100000.0,2022/ 2023,stade rennais,s rennais r
533,6,Olympique Lyon,Ligue 1,311850000.0,2022/ 2023,olympique lyon,o olympique l
534,7,Olympique Marseille,Ligue 1,272850000.0,2022/ 2023,olympique marseille,o olympique m
535,8,RC Lens,Ligue 1,126900000.0,2022/ 2023,lens,l lens l
536,9,Stade Reims,Ligue 1,104300000.0,2022/ 2023,stade reims,s stade r
537,10,FC Toulouse,Ligue 1,43250000.0,2022/ 2023,toulouse,t toulouse t
538,11,RC Strasbourg Alsace,Ligue 1,116750000.0,2022/ 2023,strasbourg alsace,s strasbourg a
539,12,Montpellier HSC,Ligue 1,101450000.0,2022/ 2023,montpellier,m montpellier m
540,13,FC Nantes,Ligue 1,94300000.0,2022/ 2023,nantes,n nantes n
541,14,Stade Brestois 29,Ligue 1,72180000.0,2022/ 2023,stade brestois,s brestois b
542,15,Le Havre AC,Ligue 2,15350000.0,2022/ 2023,le havre,l havre h
543,16,AJ Auxerre,Ligue 1,26100000.0,2022/ 2023,auxerre,a auxerre a
544,17,AS Saint-Étienne,Ligue 2,68100000.0,2022/ 2023,saintetienne,s saintetienne s
545,18,Angers SCO,Ligue 1,58350000.0,2022/ 2023,angers,a angers a
546,1,Paris Saint-Germain,Ligue 1,917650000.0,2021/ 2022,paris saintgermain,p saintgermain s
547,2,AS Monaco,Ligue 1,377200000.0,2021/ 2022,monaco,m monaco m
548,3,LOSC Lille,Ligue 1,278450000.0,2021/ 2022,lille,l lille l
549,4,OGC Nice,Ligue 1,215650000.0,2021/ 2022,nice,n nice n
550,5,Stade Rennais FC,Ligue 1,231800000.0,2021/ 2022,stade rennais,s rennais r
551,6,Olympique Lyon,Ligue 1,331600000.0,2021/ 2022,olympique lyon,o olympique l
552,7,Olympique Marseille,Ligue 1,256750000.0,2021/ 2022,olympique marseille,o olympique m
553,8,RC Lens,Ligue 1,78550000.0,2021/ 2022,lens,l lens l
554,9,Stade Reims,Ligue 1,93980000.0,2021/ 2022,stade reims,s stade r
555,10,FC Toulouse,Ligue 2,33450000.000000004,2021/ 2022,toulouse,t toulouse t
556,11,RC Strasbourg Alsace,Ligue 1,77950000.0,2021/ 2022,strasbourg alsace,s strasbourg a
557,12,Montpellier HSC,Ligue 1,116150000.0,2021/ 2022,montpellier,m montpellier m
558,13,FC Nantes,Ligue 1,85100000.0,2021/ 2022,nantes,n nantes n
559,14,Stade Brestois 29,Ligue 1,72950000.0,2021/ 2022,stade brestois,s brestois b
560,15,Le Havre AC,Ligue 2,15030000.0,2021/ 2022,le havre,l havre h
561,16,AJ Auxerre,Ligue 2,12500000.0,2021/ 2022,auxerre,a auxerre a
562,17,AS Saint-Étienne,Ligue 1,94700000.0,2021/ 2022,saintetienne,s saintetienne s
563,18,Angers SCO,Ligue 1,71250000.0,2021/ 2022,angers,a angers a
564,1,Paris Saint-Germain,Ligue 1,799450000.0,2020/ 2021,paris saintgermain,p saintgermain s
565,2,AS Monaco,Ligue 1,297550000.0,2020/ 2021,monaco,m monaco m
566,3,LOSC Lille,Ligue 1,239050000.0,2020/ 2021,lille,l lille l
567,4,OGC Nice,Ligue 1,156700000.0,2020/ 2021,nice,n nice n
568,5,Stade Rennais FC,Ligue 1,171930000.0,2020/ 2021,stade rennais,s rennais r
569,6,Olympique Lyon,Ligue 1,363350000.0,2020/ 2021,olympique lyon,o olympique l
570,7,Olympique Marseille,Ligue 1,217730000.0,2020/ 2021,olympique marseille,o olympique m
571,8,RC Lens,Ligue 2,34380000.0,2020/ 2021,lens,l lens l
572,9,Stade Reims,Ligue 1,73380000.0,2020/ 2021,stade reims,s stade r
573,10,FC Toulouse,Ligue 1,55080000.0,2020/ 2021,toulouse,t toulouse t
574,11,RC Strasbourg Alsace,Ligue 1,75730000.0,2020/ 2021,strasbourg alsace,s strasbourg a
575,12,Montpellier HSC,Ligue 1,74600000.0,2020/ 2021,montpellier,m montpellier m
576,13,FC Nantes,Ligue 1,85600000.0,2020/ 2021,nantes,n nantes n
577,14,Stade Brestois 29,Ligue 1,40980000.0,2020/ 2021,stade brestois,s brestois b
578,15,Le Havre AC,Ligue 2,10950000.0,2020/ 2021,le havre,l havre h
579,16,AJ Auxerre,Ligue 2,15550000.0,2020/ 2021,auxerre,a auxerre a
580,17,AS Saint-Étienne,Ligue 1,77550000.0,2020/ 2021,saintetienne,s saintetienne s
581,18,Angers SCO,Ligue 1,72450000.0,2020/ 2021,angers,a angers a
582,1,Paris Saint-Germain,Ligue 1,995450000.0,2019/ 2020,paris saintgermain,p saintgermain s
583,2,AS Monaco,Ligue 1,297450000.0,2019/ 2020,monaco,m monaco m
584,3,LOSC Lille,Ligue 1,221830000.0,2019/ 2020,lille,l lille l
585,4,OGC Nice,Ligue 1,150200000.0,2019/ 2020,nice,n nice n
586,5,Stade Rennais FC,Ligue 1,149100000.0,2019/ 2020,stade rennais,s rennais r
587,6,Olympique Lyon,Ligue 1,341350000.0,2019/ 2020,olympique lyon,o olympique l
588,7,Olympique Marseille,Ligue 1,217350000.0,2019/ 2020,olympique marseille,o olympique m
589,8,RC Lens,Ligue 2,23300000.0,2019/ 2020,lens,l lens l
590,9,Stade Reims,Ligue 1,71250000.0,2019/ 2020,stade reims,s stade r
591,10,FC Toulouse,Ligue 1,73150000.0,2019/ 2020,toulouse,t toulouse t
592,11,RC Strasbourg Alsace,Ligue 1,93550000.0,2019/ 2020,strasbourg alsace,s strasbourg a
